Ticker,Num Trades,Avg % Profit,Total % Profit
OXY,3,39.536300000000004,118.6089
HAL,3,27.176433333333335,81.5293
RCL,4,19.4472,77.7888
NCLH,5,14.550819999999998,72.7541
ENPH,3,22.96206666666667,68.8862
MGM,4,16.24515,64.9806
ALGN,2,31.677749999999996,63.35549999999999
APA,3,20.317466666666665,60.9524
XYZ,4,14.72295,58.8918
SPG,6,9.502699999999999,57.0162
WYNN,3,18.909266666666667,56.7278
TXT,5,11.03112,55.1556
FANG,3,18.174833333333336,54.5245
UAL,4,13.315299999999999,53.261199999999995
DXCM,5,10.48266,52.4133
DVN,4,13.08225,52.329
VLO,3,16.581266666666668,49.7438
EOG,3,16.215933333333332,48.6478
HOLX,5,9.27752,46.387600000000006
PTC,4,11.322424999999999,45.289699999999996
ALB,3,15.009366666666667,45.0281
AMD,5,8.99492,44.9746
CZR,3,14.731866666666667,44.1956
PODD,4,10.981925,43.9277
FITB,5,8.656659999999999,43.2833
LEN,4,10.811074999999999,43.244299999999996
META,4,10.5713,42.2852
WDAY,5,8.39842,41.9921
MOS,5,8.38512,41.9256
DDOG,5,8.33456,41.6728
DECK,4,10.186275,40.7451
CF,4,9.7222,38.8888
CDNS,3,12.701099999999999,38.1033
COF,4,9.517525,38.0701
BLDR,5,7.509899999999999,37.549499999999995
PSX,2,18.69745,37.3949
DGX,5,7.477320000000001,37.3866
DD,3,11.864633333333336,35.593900000000005
WELL,5,7.092699999999999,35.463499999999996
LKQ,3,11.810633333333334,35.4319
DHR,3,11.787133333333335,35.3614
NFLX,5,7.050520000000001,35.2526
ROL,5,6.9863,34.9315
C,5,6.978840000000001,34.894200000000005
CCL,3,11.277800000000001,33.833400000000005
MNST,4,8.420575,33.6823
MTD,3,11.227166666666667,33.6815
SBUX,3,11.197766666666666,33.5933
CRL,5,6.702240000000001,33.5112
RMD,4,8.29165,33.1666
PNR,4,8.239675,32.9587
QCOM,2,16.4245,32.849
LVS,5,6.550880000000001,32.754400000000004
CPRT,3,10.9062,32.7186
DAL,4,8.1355,32.542
IR,4,8.117325,32.4693
LYB,5,6.48904,32.4452
WSM,4,8.0402,32.1608
APH,3,10.693566666666667,32.0807
HBAN,4,7.987525,31.9501
ACGL,4,7.878825,31.5153
PHM,5,6.28162,31.4081
XOM,3,10.344166666666666,31.0325
HST,5,6.18638,30.9319
PWR,4,7.60565,30.4226
CMI,3,10.1029,30.3087
NOW,3,10.053266666666666,30.159799999999997
VTR,5,6.03146,30.1573
CRWD,5,6.02186,30.1093
TTD,2,15.042549999999999,30.085099999999997
RVTY,3,10.0178,30.0534
WST,5,5.99396,29.969800000000003
PARA,3,9.973366666666665,29.920099999999998
TTWO,4,7.327875,29.3115
J,5,5.84848,29.2424
ANET,4,7.206675000000001,28.826700000000002
ADSK,3,9.474466666666666,28.4234
SLB,3,9.470666666666668,28.412000000000003
UBER,4,7.0965,28.386
DVA,4,7.035275,28.1411
BKR,3,9.324233333333334,27.9727
HPE,5,5.54688,27.7344
CSX,2,13.80695,27.6139
SYY,4,6.869225,27.4769
MTCH,3,9.118866666666667,27.3566
CHRW,3,9.027866666666666,27.0836
GPN,4,6.690525,26.7621
BA,6,4.449716666666666,26.6983
POOL,3,8.753633333333333,26.2609
WMT,4,6.497275,25.9891
LUV,4,6.2523,25.0092
ON,2,12.4755,24.951
PAYC,3,8.3082,24.924599999999998
KEYS,4,6.228300000000001,24.913200000000003
CTSH,4,6.101775,24.4071
CAT,4,6.09405,24.3762
