Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Percentage Profit
UNH,2020-02-18,277.567,2020-03-02,250.8981,-9.6081
UNH,2020-04-14,249.5767,2020-05-28,280.4578,12.3734
UNH,2020-07-14,285.8818,2020-09-09,289.125,1.1344
UNH,2020-10-08,299.9837,2020-10-30,283.9149,-5.3565
UNH,2020-12-31,327.4611,2020-12-31,327.4611,0.0
OTIS,2020-04-07,41.0511,2020-04-29,47.4202,15.5149
OTIS,2020-07-20,54.4948,2020-08-11,59.9014,9.9214
OTIS,2020-10-06,59.5883,2020-10-29,56.7503,-4.7626
OTIS,2020-11-16,62.9118,2020-12-14,58.7845,-6.5603
WDC,2020-04-16,30.9929,2020-04-30,34.7652,12.1714
WDC,2020-05-28,32.9092,2020-06-09,36.0854,9.6515
WDC,2020-07-24,32.3283,2020-08-07,27.9072,-13.6756
WDC,2020-09-14,29.3784,2020-10-01,27.4092,-6.7026
WDC,2020-10-19,30.8722,2020-10-30,28.4655,-7.7957
DOW,2020-04-14,26.5067,2020-04-27,25.8097,-2.6293
DOW,2020-05-20,27.1137,2020-06-03,31.7563,17.1225
DOW,2020-07-17,33.3124,2020-08-03,30.5815,-8.1978
DOW,2020-10-16,38.1862,2020-10-28,34.9949,-8.357
DOW,2020-11-11,40.4402,2020-11-25,43.7088,8.0828
F,2020-04-21,3.7103,2020-05-15,3.8114,2.7253
F,2020-07-21,5.1959,2020-08-31,5.3048,2.0958
F,2020-09-11,5.4448,2020-09-24,5.1804,-4.8572
F,2020-10-12,5.966,2020-11-16,6.8449,14.7327
CSX,2020-04-14,19.4499,2020-05-27,22.8896,17.6847
CSX,2020-07-21,22.6056,2020-09-16,24.8501,9.9292
AES,2020-04-15,10.4079,2020-04-29,11.7447,12.8448
AES,2020-06-02,10.8608,2020-07-01,11.9378,9.9161
LIN,2020-01-21,195.6314,2020-02-03,193.5155,-1.0816
LIN,2020-04-13,172.7689,2020-05-18,178.4688,3.2991
LIN,2020-11-11,243.0566,2020-12-15,236.4841,-2.7041
WRB,2020-01-23,28.4249,2020-02-11,31.5709,11.0675
